"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Cltc",8.09728864832783e-17,0.102567857323336,1,0.899,2.90287798042553e-13,"25","Cltc",0.101,0.0747600945125895
"Ctsl",8.65435670551081e-17,0.161448569285703,0.982,0.328,3.10258687892563e-13,"25","Ctsl",0.654,0.577701815839563
"Ptms1",9.62164126003012e-17,0.10083656089701,1,0.475,3.4493583917208e-13,"25","Ptms",0.525,0.439285045525521
"Sat15",1.18615629198237e-16,0.270885096130144,1,0.858,4.25237030675679e-13,"25","Sat1",0.142,0.106249498279434
"Fosb1",1.31653084456123e-16,0.159994760002887,1,0.62,4.71976307775202e-13,"25","Fosb",0.38,0.3040061868901
"H2-Eb12",1.60811583739925e-16,0.493029351248063,1,0.487,5.76509527707632e-13,"25","H2-Eb1",0.513,0.427595352609668
"Ctsh1",1.72104554698679e-16,0.215191647631217,1,0.541,6.16994828594764e-13,"25","Ctsh",0.459,0.376133138147302
"Psap4",2.20061405987078e-16,0.845404343342181,1,0.967,7.88920140463674e-13,"25","Psap",0.033,0.0240030423835567
"Cst35",2.26469541364324e-16,0.632064055435683,1,0.999,8.11893305791102e-13,"25","Cst3",0.001,0.000721527917459226
"Cyb5a1",2.59672003063108e-16,0.217277384385206,1,0.913,9.30924130981241e-13,"25","Cyb5a",0.087,0.0641631263159748
"Apoe2",2.91790113739059e-16,1.4892674834669,1,0.822,1.04606755775453e-12,"25","Apoe",0.178,0.134477040860036
